cruise;day;st;Longitude;Latitude;presion;depth;temp;sal;fluo;turb;par;oxig;PARsurf
ENVIII;7;3;8.956;42;-4;3.97;13.2846;35.2369;2.8661;0.6103;1.24E+01;6.85934;4.80E+01
ENVIII;7;3;8.956;42;-5;4.961;13.2308;35.6467;2.44;0.6127;9.65E+00;6.92394;4.80E+01
ENVIII;7;3;8.956;42;-6;5.953;13.2228;35.6463;2.3157;0.5841;7.84E+00;6.87924;4.79E+01
ENVIII;7;3;8.956;42;-7;6.945;13.2346;35.645;2.2588;0.5744;6.48E+00;6.86262;4.79E+01
ENVIII;7;3;8.956;42;-8;7.937;13.1868;35.6461;2.4391;0.6173;5.52E+00;6.86494;4.79E+01
ENVIII;7;3;8.956;42;-9;8.929;13.1615;35.6469;2.5773;0.6418;4.60E+00;6.83118;4.79E+01
ENVIII;7;3;8.956;42;-10;9.921;13.1502;35.6469;2.3109;0.6555;3.81E+00;6.80495;4.79E+01
ENVIII;7;3;8.956;42;-11;10.913;13.1143;35.6475;2.3406;0.5989;3.23E+00;6.80567;4.79E+01
ENVIII;7;3;8.956;42;-12;11.905;13.1035;35.648;2.5948;0.6481;2.81E+00;6.78125;4.79E+01
ENVIII;7;3;8.956;42;-13;12.897;13.0927;35.6477;2.4925;0.594;2.40E+00;6.77043;4.79E+01
ENVIII;7;3;8.956;42;-14;13.89;13.0821;35.6476;2.3872;0.602;2.02E+00;6.75241;4.79E+01
ENVIII;7;3;8.956;42;-15;14.882;13.0674;35.6479;2.4969;0.6267;1.73E+00;6.74527;4.79E+01
ENVIII;7;3;8.956;42;-16;15.874;13.0612;35.6479;2.7036;0.8017;1.52E+00;6.75574;4.79E+01
ENVIII;7;3;8.956;42;-17;16.866;13.0572;35.6478;2.4468;0.6471;1.32E+00;6.77144;4.79E+01
ENVIII;7;3;8.956;42;-18;17.858;13.0381;35.6481;2.2419;0.5786;1.11E+00;6.78284;4.79E+01
ENVIII;7;3;8.956;42;-19;18.85;13.0136;35.6493;2.1;0.5815;9.56E-01;6.75696;4.79E+01
